UID          PID    PPID  C STIME TTY          TIME CMD
andrew      2060    1722  0 13:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal
andrew      2066    1722  0 13:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
andrew      2071    1722  0 13:01 ?        00:00:00 /usr/libexec/dconf-service
andrew      2072    1722  0 13:01 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
andrew      2095    1751  0 13:01 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
andrew      2105    1722  0 13:01 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
andrew      2107    1722  0 13:01 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
andrew      2122    1722  0 13:01 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
andrew      2123    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-a11y-settings
andrew      2125    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-color
andrew      2127    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-datetime
andrew      2129    2122  0 13:01 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
andrew      2130    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-housekeeping
andrew      2132    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-keyboard
andrew      2133    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-media-keys
andrew      2135    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-power
andrew      2137    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-print-notifications
andrew      2145    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-rfkill
andrew      2151    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
andrew      2158    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-sharing
andrew      2164    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-smartcard
andrew      2173    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-sound
andrew      2174    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-wacom
andrew      2200    2129  0 13:01 ?        00:00:00 /usr/libexec/ibus-memconf
andrew      2202    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-printer
andrew      2203    2129  0 13:01 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
andrew      2216    1722  0 13:01 ?        00:00:00 /usr/libexec/ibus-portal
andrew      2217    1879  0 13:01 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
andrew      2226    1879  0 13:01 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
andrew      2245    1722  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --clipboard
andrew      2246    2245  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --clipboard
andrew      2266    1923  0 13:01 ?        00:00:06 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.MT9LY1 -listen 4 -listen 5 -displayfd 6 -initfd 7
andrew      2295    2129  0 13:01 ?        00:00:00 /usr/libexec/ibus-engine-simple
andrew      2298    1722  0 13:01 ?        00:00:00 /usr/libexec/gvfsd-metadata
andrew      2324    1722  0 13:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
andrew      2347    1722  0 13:01 ?        00:00:00 /usr/libexec/gsd-xsettings
andrew      2352    1722  0 13:01 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
andrew      2409    1722  0 13:01 ?        00:00:00 /usr/libexec/ibus-x11
andrew      2428    1722  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --seamless
andrew      2429    2428  0 13:01 ?        00:00:01 /usr/bin/VBoxClient --seamless
andrew      2436    1722  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
andrew      2437    2436  0 13:01 ?        00:00:12 /usr/bin/VBoxClient --draganddrop
andrew      2441    1722  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
andrew      2442    2441  0 13:01 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
andrew      2677    1722  0 13:02 ?        00:00:00 /usr/bin/snap userd
andrew      3472    1879  0 13:02 ?        00:00:00 update-notifier
andrew      3560    1722  0 13:04 ?        00:00:03 /usr/libexec/gnome-terminal-server
andrew      3578    3560  0 13:04 pts/0    00:00:00 bash
root        3649       2  0 13:11 ?        00:00:00 [kworker/u8:0-flush-8:0]
root        3729       2  0 13:12 ?        00:00:00 [kworker/u8:2-events_unbound]
root        3769       2  0 13:12 ?        00:00:00 [kworker/2:0-events]
root        3922       2  0 13:16 ?        00:00:00 [kworker/0:0-events]
andrew      3959    1923  0 13:20 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1488:792:1:27:0:0:0:0
root        4015       2  0 13:20 ?        00:00:00 [kworker/3:1-events]
root        4058       2  0 13:22 ?        00:00:00 [kworker/u8:1-flush-8:0]
andrew      4081    1722  0 13:24 pts/0    00:00:00 /usr/lib/git-core/git credential-cache--daemon /home/andrew/.cache/git/credential/socket
root        4601       2  0 13:27 ?        00:00:00 [kworker/2:2-rcu_gp]
root        4602       2  0 13:27 ?        00:00:00 [kworker/0:2-events]
root        4604       2  0 13:27 ?        00:00:00 [kworker/2:3-events]
root        4608       2  0 13:27 ?        00:00:00 [kworker/1:0-events]
andrew      4667    3578  0 13:28 pts/0    00:00:00 ps -ef
